,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.111,0.0,0.0,0.111,0.111,0.0,0.0,0.333,0.0,0.111,0.0,0.0
1960-1969,0.001,0.003,0.018,0.045,0.0,0.069,0.076,0.061,0.139,0.001,0.085,0.003,0.003,0.034,0.184,0.163,0.021,0.004,0.085,0.003
1970-1979,0.003,0.01,0.048,0.071,0.003,0.11,0.097,0.06,0.119,0.002,0.105,0.004,0.002,0.002,0.079,0.126,0.014,0.002,0.135,0.008
1980-1989,0.022,0.021,0.028,0.08,0.008,0.086,0.121,0.051,0.137,0.004,0.099,0.014,0.004,0.004,0.03,0.103,0.025,0.012,0.125,0.027
1990-1999,0.046,0.054,0.03,0.03,0.023,0.047,0.034,0.063,0.138,0.036,0.068,0.053,0.025,0.014,0.02,0.054,0.045,0.029,0.053,0.137
2000-2009,0.086,0.074,0.022,0.014,0.03,0.008,0.0,0.029,0.04,0.064,0.012,0.129,0.032,0.001,0.001,0.016,0.026,0.091,0.001,0.323
2010-2019,0.068,0.042,0.007,0.011,0.021,0.0,0.0,0.015,0.036,0.102,0.003,0.167,0.067,0.0,0.002,0.004,0.01,0.16,0.002,0.283
2020-2029,0.125,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.062,0.188,0.0,0.188,0.0,0.0,0.0,0.031,0.031,0.062,0.0,0.25
Total,0.035,0.048,0.015,0.025,0.008,0.043,0.044,0.031,0.128,0.04,0.037,0.067,0.024,0.006,0.057,0.183,0.017,0.047,0.04,0.103
