,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.0,0.0,0.167,0.0,0.0,0.333,0.0,0.0,0.333,0.167
1970-1979,0.02,0.0,0.214,0.189,0.095,0.129,0.065,0.169,0.085,0.035
1980-1989,0.025,0.025,0.179,0.188,0.121,0.167,0.054,0.121,0.088,0.033
1990-1999,0.151,0.113,0.088,0.101,0.092,0.109,0.113,0.067,0.092,0.071
2000-2009,0.274,0.282,0.013,0.017,0.115,0.085,0.115,0.004,0.013,0.081
2010-2019,0.284,0.34,0.004,0.016,0.088,0.084,0.124,0.008,0.012,0.04
2020-2029,0.286,0.429,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.0
