,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1960-1969,0.01,0.0,0.118,0.265,0.088,0.078,0.01,0.108,0.284,0.039
1970-1979,0.004,0.004,0.188,0.201,0.125,0.103,0.089,0.134,0.116,0.036
1980-1989,0.047,0.009,0.211,0.135,0.057,0.138,0.091,0.154,0.123,0.035
1990-1999,0.122,0.122,0.088,0.083,0.127,0.105,0.133,0.055,0.094,0.072
2000-2009,0.222,0.31,0.008,0.032,0.119,0.095,0.087,0.008,0.024,0.095
2010-2019,0.336,0.375,0.0,0.0,0.066,0.046,0.105,0.0,0.013,0.059
2020-2029,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
