,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1920-1929,0.0,0.984,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.013,0.0,0.0,0.0,0.0,0.002
1930-1939,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.008,0.0,0.0,0.0,0.0,0.001
1940-1949,0.0,0.991,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.01,0.001,0.001,0.0,0.0,0.0
1960-1969,0.001,0.98,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.015,0.0,0.002,0.0,0.0,0.0
1970-1979,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.002,0.0,0.0,0.002
1980-1989,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
2000-2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,
Total,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.007,0.0,0.0,0.0,0.0,0.0
