,0,1,2,3,4,5,6,7,8,9
1920-1929,0.226,0.032,0.065,0.0,0.097,0.0,0.0,0.161,0.194,0.226
1930-1939,0.125,0.0,0.5,0.047,0.094,0.062,0.016,0.094,0.0,0.062
1940-1949,,,,,,,,,,
1950-1959,0.009,0.038,0.113,0.028,0.019,0.113,0.028,0.009,0.368,0.274
1960-1969,0.074,0.047,0.133,0.098,0.083,0.099,0.048,0.091,0.239,0.088
1970-1979,0.084,0.066,0.107,0.103,0.129,0.096,0.046,0.088,0.159,0.123
1980-1989,0.108,0.08,0.106,0.111,0.11,0.104,0.066,0.092,0.094,0.13
1990-1999,0.104,0.092,0.121,0.08,0.072,0.111,0.1,0.121,0.087,0.113
2000-2009,0.085,0.123,0.099,0.077,0.054,0.085,0.152,0.18,0.053,0.093
2010-2019,0.093,0.183,0.079,0.089,0.06,0.07,0.136,0.151,0.045,0.095
2020-2029,0.031,0.162,0.074,0.022,0.066,0.031,0.288,0.166,0.031,0.131
Total,0.093,0.097,0.107,0.093,0.088,0.095,0.089,0.118,0.109,0.11
