,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
1930-1939,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.003
1940-1949,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1950-1959,0.0,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
1960-1969,0.003,0.974,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003
1970-1979,0.0,0.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-1989,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013
1990-1999,0.0,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0
2000-2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.001,0.983,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.005
