,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.0,0.142,0.102,0.118,0.126,0.0,0.094,0.0,0.071,0.047,0.031,0.244,0.008,0.0,0.0,0.0,0.016,0.0,0.0,0.0
1970-1979,0.0,0.119,0.112,0.137,0.094,0.0,0.108,0.0,0.115,0.09,0.054,0.076,0.004,0.0,0.007,0.0,0.079,0.007,0.0,0.0
1980-1989,0.004,0.129,0.112,0.193,0.104,0.0,0.12,0.0,0.068,0.048,0.096,0.052,0.0,0.024,0.0,0.0,0.036,0.004,0.008,0.0
1990-1999,0.01,0.156,0.021,0.177,0.031,0.0,0.094,0.0,0.146,0.094,0.073,0.052,0.0,0.042,0.0,0.0,0.073,0.021,0.0,0.01
2000-2009,0.0,0.05,0.0,0.0,0.1,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.4,0.0,0.1,0.0
2010-2019,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.004,0.128,0.096,0.153,0.094,0.003,0.105,0.001,0.094,0.069,0.065,0.091,0.004,0.017,0.003,0.0,0.062,0.006,0.005,0.001
