,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.075,0.212,0.088,0.094,0.0,0.075,0.0,0.075,0.056,0.088,0.2,0.0,0.0,0.0,0.0,0.025,0.006,0.006,0.0
1970-1979,0.003,0.127,0.13,0.144,0.144,0.003,0.064,0.0,0.14,0.067,0.074,0.047,0.0,0.003,0.0,0.0,0.037,0.01,0.007,0.0
1980-1989,0.005,0.131,0.08,0.115,0.115,0.011,0.166,0.0,0.126,0.064,0.086,0.035,0.005,0.008,0.011,0.0,0.029,0.008,0.005,0.0
1990-1999,0.03,0.159,0.053,0.114,0.076,0.015,0.098,0.0,0.098,0.083,0.03,0.023,0.023,0.068,0.0,0.0,0.076,0.03,0.008,0.015
2000-2009,0.065,0.161,0.0,0.0,0.129,0.032,0.0,0.0,0.032,0.161,0.0,0.0,0.0,0.097,0.032,0.0,0.226,0.065,0.0,0.0
2010-2019,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.4,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.009,0.124,0.109,0.114,0.116,0.009,0.105,0.0,0.114,0.069,0.072,0.062,0.007,0.017,0.005,0.0,0.047,0.013,0.006,0.002
