,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,
1960-1969,0.024,0.333,0.214,0.024,0.0,0.024,0.0,0.024,0.0,0.048,0.024,0.143,0.0,0.0,0.024,0.0,0.024,0.095,0.0
1970-1979,0.029,0.265,0.235,0.059,0.0,0.029,0.0,0.029,0.0,0.059,0.0,0.176,0.0,0.0,0.059,0.0,0.0,0.029,0.029
1980-1989,0.139,0.178,0.168,0.01,0.03,0.069,0.0,0.059,0.0,0.02,0.02,0.03,0.04,0.01,0.158,0.02,0.0,0.05,0.0
1990-1999,0.259,0.108,0.025,0.013,0.013,0.152,0.0,0.038,0.0,0.006,0.013,0.019,0.044,0.076,0.076,0.057,0.0,0.063,0.038
2000-2009,0.351,0.032,0.011,0.0,0.005,0.138,0.0,0.112,0.0,0.011,0.005,0.011,0.064,0.096,0.08,0.043,0.0,0.021,0.021
2010-2019,0.299,0.047,0.005,0.003,0.0,0.226,0.0,0.168,0.0,0.008,0.018,0.0,0.063,0.045,0.024,0.073,0.0,0.005,0.016
2020-2029,0.333,0.0,0.083,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.083,0.0
Total,0.179,0.12,0.218,0.013,0.006,0.08,0.0,0.075,0.0,0.019,0.01,0.047,0.068,0.028,0.053,0.024,0.003,0.043,0.013
