,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.826,0.0,0.019,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.006
1930-1939,0.0,0.0,0.796,0.0,0.028,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.002
1940-1949,0.0,0.0,0.687,0.0,0.023,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.002
1950-1959,0.0,0.0,0.45,0.0,0.061,0.0,0.0,0.0,0.431,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.013
1960-1969,0.0,0.0,0.358,0.0,0.056,0.0,0.0,0.0,0.487,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.007
1970-1979,0.0,0.0,0.309,0.0,0.037,0.0,0.0,0.0,0.581,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.01
1980-1989,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.694,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.008,0.0,0.008
1990-1999,0.0,0.0,0.244,0.0,0.067,0.0,0.0,0.0,0.644,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0
2000-2009,0.0,0.0,0.208,0.0,0.042,0.0,0.0,0.0,0.708,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.316,0.0,0.105,0.0,0.0,0.0,0.474,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.0,0.0,0.569,0.0,0.035,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.005
