,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.021,0.0,0.17,0.021,0.0,0.0,0.0,0.021,0.064,0.0,0.043,0.0,0.0,0.043,0.0,0.0,0.0,0.021,0.064,0.064,0.021,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.021,0.0,0.021,0.0,0.106,0.0,0.021,0.085,0.0,0.0,0.085,0.043,0.0,0.0,0.0,0.0,0.0
1970-1979,0.0,0.027,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.054,0.027,0.0,0.0,0.027,0.027,0.0,0.027,0.0,0.0,0.0,0.027,0.054,0.0,0.0,0.0,0.0,0.027,0.135,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.054,0.0,0.0,0.0,0.0
1980-1989,0.01,0.05,0.0,0.099,0.01,0.0,0.0,0.0,0.0,0.01,0.059,0.03,0.0,0.01,0.05,0.0,0.01,0.01,0.0,0.089,0.03,0.099,0.0,0.03,0.0,0.02,0.059,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.0,0.02,0.03,0.02,0.02,0.0,0.02,0.0,0.02,0.03,0.059,0.01,0.0,0.0,0.0,0.01
1990-1999,0.088,0.019,0.013,0.044,0.006,0.006,0.013,0.006,0.0,0.013,0.126,0.025,0.0,0.013,0.013,0.0,0.0,0.006,0.044,0.013,0.025,0.063,0.013,0.006,0.006,0.013,0.145,0.006,0.013,0.05,0.006,0.0,0.0,0.025,0.0,0.013,0.006,0.019,0.006,0.0,0.05,0.019,0.0,0.025,0.019,0.019,0.0,0.006,0.0,0.0
2000-2009,0.048,0.059,0.011,0.032,0.005,0.0,0.021,0.0,0.005,0.011,0.053,0.027,0.011,0.005,0.027,0.0,0.016,0.0,0.021,0.027,0.032,0.165,0.005,0.0,0.005,0.005,0.128,0.005,0.0,0.069,0.0,0.016,0.0,0.021,0.0,0.005,0.027,0.005,0.0,0.0,0.064,0.005,0.005,0.005,0.021,0.016,0.0,0.005,0.005,0.005
2010-2019,0.05,0.026,0.018,0.026,0.003,0.008,0.013,0.0,0.005,0.005,0.094,0.01,0.003,0.013,0.026,0.0,0.018,0.003,0.01,0.034,0.021,0.184,0.0,0.016,0.0,0.003,0.197,0.0,0.008,0.021,0.005,0.003,0.0,0.029,0.0,0.016,0.013,0.005,0.01,0.0,0.045,0.003,0.003,0.005,0.01,0.018,0.005,0.013,0.0,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.083,0.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.083,0.0,0.0
Total,0.024,0.025,0.005,0.09,0.131,0.002,0.006,0.001,0.004,0.013,0.055,0.027,0.002,0.005,0.04,0.0,0.006,0.002,0.012,0.035,0.035,0.077,0.002,0.015,0.005,0.005,0.08,0.003,0.004,0.019,0.007,0.012,0.004,0.024,0.0,0.02,0.013,0.036,0.015,0.003,0.043,0.003,0.003,0.022,0.022,0.025,0.001,0.014,0.001,0.002
