,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.348,0.284,0.187,0.0,0.013,0.013,0.0,0.006,0.148
1930-1939,0.007,0.387,0.252,0.141,0.0,0.003,0.023,0.003,0.003,0.18
1940-1949,0.004,0.308,0.376,0.125,0.011,0.006,0.03,0.011,0.023,0.106
1950-1959,0.018,0.276,0.298,0.196,0.014,0.01,0.028,0.012,0.044,0.104
1960-1969,0.053,0.231,0.195,0.118,0.07,0.042,0.092,0.039,0.05,0.112
1970-1979,0.101,0.128,0.086,0.062,0.152,0.091,0.114,0.108,0.098,0.059
1980-1989,0.128,0.065,0.063,0.038,0.17,0.118,0.133,0.133,0.114,0.037
1990-1999,0.13,0.046,0.023,0.027,0.185,0.119,0.139,0.171,0.123,0.037
2000-2009,0.128,0.027,0.016,0.018,0.196,0.141,0.141,0.189,0.117,0.028
2010-2019,0.16,0.011,0.029,0.006,0.194,0.16,0.117,0.182,0.123,0.018
2020-2029,0.2,0.0,0.0,0.0,0.1,0.1,0.3,0.2,0.1,0.0
Total,0.084,0.166,0.147,0.083,0.099,0.073,0.103,0.095,0.073,0.075
