,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333
1960-1969,0.0,0.0,0.006,0.042,0.012,0.0,0.0,0.03,0.048,0.018,0.006,0.018,0.03,0.048,0.012,0.054,0.012,0.042,0.0,0.042,0.006,0.0,0.127,0.012,0.036,0.0,0.006,0.0,0.018,0.006,0.03,0.006,0.042,0.0,0.066,0.012,0.0,0.036,0.006,0.036,0.0,0.006,0.006,0.006,0.036,0.012,0.03,0.012,0.012,0.012
1970-1979,0.01,0.003,0.0,0.016,0.0,0.003,0.003,0.054,0.038,0.035,0.013,0.019,0.038,0.048,0.003,0.054,0.019,0.022,0.003,0.016,0.016,0.0,0.054,0.003,0.048,0.01,0.01,0.013,0.048,0.01,0.019,0.006,0.041,0.0,0.045,0.016,0.01,0.025,0.022,0.041,0.003,0.006,0.019,0.016,0.019,0.038,0.038,0.013,0.006,0.006
1980-1989,0.009,0.006,0.0,0.034,0.0,0.006,0.009,0.072,0.037,0.025,0.028,0.022,0.04,0.04,0.012,0.05,0.028,0.028,0.028,0.009,0.028,0.012,0.028,0.003,0.059,0.009,0.006,0.003,0.04,0.037,0.022,0.0,0.016,0.0,0.028,0.0,0.006,0.022,0.022,0.012,0.006,0.0,0.012,0.025,0.019,0.009,0.05,0.009,0.009,0.019
1990-1999,0.041,0.018,0.032,0.028,0.005,0.005,0.014,0.018,0.023,0.028,0.032,0.014,0.018,0.023,0.018,0.032,0.028,0.032,0.005,0.018,0.023,0.041,0.014,0.005,0.032,0.023,0.06,0.009,0.014,0.018,0.014,0.009,0.009,0.014,0.037,0.023,0.009,0.028,0.028,0.014,0.028,0.0,0.0,0.028,0.032,0.028,0.023,0.0,0.0,0.005
2000-2009,0.083,0.044,0.029,0.025,0.005,0.0,0.02,0.0,0.005,0.025,0.064,0.01,0.01,0.015,0.025,0.01,0.025,0.005,0.02,0.02,0.029,0.123,0.0,0.02,0.005,0.0,0.142,0.0,0.005,0.059,0.0,0.015,0.01,0.02,0.005,0.0,0.029,0.005,0.01,0.005,0.034,0.0,0.0,0.005,0.015,0.02,0.0,0.005,0.005,0.0
2010-2019,0.046,0.037,0.028,0.009,0.009,0.009,0.019,0.009,0.0,0.009,0.065,0.0,0.009,0.0,0.046,0.0,0.009,0.009,0.019,0.046,0.019,0.139,0.0,0.009,0.009,0.028,0.231,0.0,0.009,0.019,0.009,0.0,0.0,0.019,0.0,0.009,0.019,0.0,0.009,0.0,0.028,0.0,0.0,0.009,0.009,0.009,0.009,0.019,0.0,0.009
2020-2029,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.024,0.014,0.012,0.019,0.004,0.024,0.008,0.023,0.019,0.038,0.026,0.01,0.018,0.022,0.015,0.025,0.015,0.017,0.009,0.019,0.015,0.06,0.028,0.006,0.024,0.009,0.078,0.003,0.017,0.019,0.012,0.025,0.015,0.048,0.023,0.008,0.009,0.014,0.012,0.014,0.075,0.002,0.005,0.011,0.016,0.015,0.019,0.007,0.004,0.048
