,0,1,2,3,4,5,6,7,8,9
1920-1929,0.001,0.185,0.001,0.282,0.003,0.0,0.0,0.478,0.048,0.001
1930-1939,0.0,0.21,0.0,0.281,0.01,0.0,0.0,0.449,0.05,0.0
1940-1949,0.0,0.199,0.002,0.218,0.002,0.0,0.0,0.513,0.067,0.0
1950-1959,0.003,0.246,0.0,0.275,0.011,0.0,0.0,0.394,0.071,0.0
1960-1969,0.0,0.202,0.0,0.283,0.009,0.0,0.0,0.378,0.128,0.0
1970-1979,0.0,0.222,0.002,0.27,0.005,0.0,0.0,0.37,0.132,0.0
1980-1989,0.004,0.203,0.0,0.278,0.0,0.0,0.0,0.378,0.137,0.0
1990-1999,0.0,0.274,0.007,0.259,0.007,0.007,0.0,0.267,0.178,0.0
2000-2009,0.0,0.224,0.013,0.303,0.0,0.0,0.0,0.316,0.145,0.0
2010-2019,0.0,0.182,0.0,0.273,0.0,0.0,0.0,0.386,0.159,0.0
2020-2029,,,,,,,,,,
Total,0.001,0.215,0.003,0.272,0.005,0.001,0.0,0.393,0.111,0.0
