,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.072,0.039,0.053,0.048,0.087,0.024,0.005,0.145,0.072,0.058,0.029,0.092,0.014,0.014,0.053,0.034,0.01,0.058,0.068,0.024
1970-1979,0.131,0.045,0.071,0.071,0.095,0.012,0.003,0.092,0.039,0.012,0.077,0.048,0.036,0.015,0.062,0.045,0.003,0.062,0.065,0.015
1980-1989,0.143,0.029,0.091,0.072,0.101,0.032,0.019,0.063,0.053,0.017,0.027,0.036,0.032,0.051,0.036,0.048,0.011,0.044,0.082,0.015
1990-1999,0.072,0.052,0.048,0.048,0.024,0.041,0.1,0.045,0.027,0.041,0.027,0.034,0.031,0.076,0.065,0.055,0.103,0.055,0.038,0.017
2000-2009,0.018,0.027,0.0,0.068,0.005,0.05,0.192,0.023,0.027,0.005,0.037,0.027,0.087,0.123,0.027,0.023,0.205,0.018,0.009,0.027
2010-2019,0.0,0.026,0.008,0.028,0.0,0.054,0.243,0.018,0.008,0.036,0.028,0.023,0.084,0.125,0.015,0.008,0.258,0.003,0.008,0.028
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.083,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.333,0.0,0.0,0.083
Total,0.055,0.027,0.034,0.042,0.039,0.152,0.112,0.059,0.028,0.021,0.028,0.032,0.046,0.061,0.032,0.027,0.115,0.03,0.034,0.026
