,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.129,0.054,0.062,0.041,0.095,0.025,0.008,0.116,0.05,0.025,0.075,0.062,0.017,0.008,0.05,0.029,0.004,0.037,0.087,0.025
1970-1979,0.168,0.026,0.089,0.05,0.125,0.01,0.005,0.13,0.041,0.019,0.05,0.026,0.0,0.005,0.07,0.041,0.012,0.038,0.082,0.012
1980-1989,0.124,0.062,0.092,0.06,0.083,0.016,0.016,0.071,0.053,0.016,0.037,0.046,0.012,0.044,0.046,0.039,0.014,0.062,0.099,0.007
1990-1999,0.055,0.048,0.057,0.043,0.041,0.026,0.069,0.053,0.031,0.065,0.048,0.055,0.05,0.086,0.038,0.024,0.098,0.065,0.022,0.026
2000-2009,0.003,0.037,0.007,0.03,0.017,0.057,0.162,0.017,0.007,0.04,0.054,0.034,0.051,0.135,0.051,0.024,0.192,0.007,0.003,0.074
2010-2019,0.003,0.045,0.003,0.065,0.003,0.055,0.194,0.01,0.003,0.019,0.013,0.029,0.087,0.133,0.023,0.0,0.282,0.006,0.006,0.019
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.167,0.333,0.0,0.0,0.167,0.0,0.0,0.0
Total,0.048,0.061,0.064,0.029,0.036,0.019,0.062,0.09,0.068,0.035,0.061,0.025,0.038,0.074,0.028,0.016,0.077,0.022,0.03,0.116
