,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25
1930-1939,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.111,0.222,0.222,0.0,0.0,0.0,0.0,0.111
1960-1969,0.004,0.003,0.102,0.006,0.141,0.075,0.096,0.043,0.049,0.072,0.021,0.054,0.045,0.048,0.069,0.054,0.021,0.049,0.033,0.016
1970-1979,0.006,0.006,0.151,0.011,0.105,0.092,0.106,0.06,0.086,0.068,0.015,0.045,0.037,0.054,0.031,0.013,0.013,0.052,0.036,0.012
1980-1989,0.009,0.016,0.151,0.035,0.074,0.096,0.086,0.069,0.091,0.043,0.013,0.054,0.052,0.038,0.028,0.018,0.019,0.052,0.045,0.01
1990-1999,0.082,0.09,0.049,0.083,0.059,0.038,0.037,0.056,0.042,0.053,0.041,0.064,0.048,0.033,0.04,0.047,0.034,0.038,0.037,0.026
2000-2009,0.176,0.193,0.01,0.168,0.016,0.006,0.005,0.055,0.002,0.041,0.077,0.011,0.03,0.034,0.022,0.025,0.06,0.008,0.019,0.043
2010-2019,0.258,0.239,0.004,0.13,0.007,0.007,0.002,0.031,0.002,0.025,0.082,0.011,0.033,0.022,0.019,0.04,0.049,0.01,0.003,0.025
2020-2029,0.219,0.312,0.0,0.031,0.031,0.0,0.0,0.094,0.0,0.062,0.062,0.031,0.031,0.094,0.0,0.0,0.0,0.0,0.0,0.031
Total,0.076,0.108,0.047,0.047,0.068,0.031,0.033,0.066,0.038,0.036,0.031,0.027,0.039,0.055,0.043,0.02,0.07,0.096,0.017,0.053
